source	poor	exact	nwr
note	editorial	exact	nwr
fixme	editorial	exact	nwr
building	good	exact	nwr
highway	good	exact	nwr
addr:	strippable	prefix	nwr
old_addr:	strippable	prefix	nwr
ref:LV:addr	strippable	exact	nwr
type	good	exact	r	relation with a type is fine
landuse	good	exact	nwr
natural	good	exact	nwr
power	good	exact	nwr
waterway	good	exact	nwr
amenity	good	exact	nwr
barrier	good	exact	nwr
leisure	good	exact	nwr
crossing	good	exact	nwr	like crossing=no
railway	good	exact	nwr
railway:historic	good	exact	nwr
man_made	good	exact	nwr
shop	good	exact	nwr
water	good	exact	nwr
entrance	good	exact	nwr
tourism	good	exact	nwr
boundary	good	exact	nwr
building:part	good	exact	nwr
place	good	exact	nwr
public_transport	good	exact	nwr
traffic_calming	good	exact	nwr
historic	good	exact	nwr
disused:	good	prefix	nwr	life-cycle prefix
proposed:	good	prefix	nwr	life-cycle prefix
planned:	good	prefix	nwr	life-cycle prefix
construction:	good	prefix	nwr	life-cycle prefix
abandoned:	good	prefix	nwr	life-cycle prefix
ruins:	good	prefix	nwr	life-cycle prefix
demolished:	good	prefix	nwr	life-cycle prefix
removed:	good	prefix	nwr	life-cycle prefix
destroyed:	good	prefix	nwr	life-cycle prefix
historic:	good	prefix	nwr	life-cycle prefix
was:	good	prefix	nwr	life-cycle prefix
razed:	good	prefix	nwr	life-cycle prefix, railways
kerb	good	exact	nwr	like kerb=no
emergency	good	exact	nwr
seamark:type	good	exact	nwr
aeroway	good	exact	nwr
aerialway	good	exact	nwr
noexit	good	exact	nwr
traffic_sign	good	exact	nwr
military	good	exact	nwr
playground	good	exact	nwr
area:	good	prefix	nwr
piste:type	good	exact	nwr
bridge:support	good	exact	nwr
ford	good	exact	nwr
road_marking	good	exact	nwr
attraction	good	exact	nwr	not an tourism=attraction subkey, rather individual objects
advertising	good	exact	nwr
marker	good	exact	nwr
defensive_works	good	exact	nwr
fitness_station	good	exact	nwr	equipment inside leisure=fitness_station
hazard	good	exact	nwr	like hazard=children on road
route	good	exact	nwr	like route=ferry or route=piste
indoor	good	exact	nwr
government	good	exact	nwr
generator:type	good	exact	nwr
office	good	exact	nwr
cemetery	good	exact	nwr	cemetery=sector
airmark	good	exact	nwr	airmark=beacon
craft	good	exact	nwr
golf	good	exact	nwr
disc_golf	good	exact	nwr
club	good	exact	nwr
telecom	good	exact	nwr
xmas:feature	good	exact	nwr
allotments	good	exact	nwr	individual allotments=plot
healthcare	good	exact	nwr	healthcare=laboratory
pipeline	good	exact	nwr	not pipeline itself but something like pipeline=valve
cycleway	good	exact	n	cycleway=asl
junction	good	exact	nwr	junction=yes
maxspeed	good	exact	n	max speed signs as nodes on road, but not alone on ways
whitewater	good	exact	nwr
canoe	good	exact	nwr
raceway	good	exact	n	raceway=start/finish
